order_number,customer_name,address,city,country,contact_fullname,dealsize
10143,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam Wing C,Medium
10155,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen Matti,Medium
10167,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Medium
10178,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France,Roulet Annette,Medium
10186,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,UK,Hardy Thomas,Medium
10197,Enaco Distributors,"Rambla de CataluÂ¤a, 23",Barcelona,Spain,Saavedra Eduardo,Medium
10222,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson Valarie,Medium
10248,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Small
10261,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre Jean,Medium
10273,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey Catherine,Medium
10283,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln Elizabeth,Small
10295,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido Juri,Medium
10307,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes Francisca,Small
10316,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett Helen,Medium
10325,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Medium
10337,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez Maria,Small
10350,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10359,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot Paul,Small
10373,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo Pirkko,Medium
10395,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha Daniel,Medium
10400,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick Sue,Large
10414,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido Juri,Small
10103,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Medium
10114,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand Marie,Medium
10126,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer MartÂ¡n,Medium
10140,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Medium
10150,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Medium
10164,Mini Auto Werke,Kirchgasse 6,Graz,Austria,Mendel Roland,Medium
10175,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown Ann,Medium
10183,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes Francisca,Medium
10194,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley Mary,Medium
10207,Diecast Collectables,6251 Ingle Ln.,Boston,USA,Franco Valarie,Medium
10217,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino Wendy,Large
10229,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10245,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy Leslie,Medium
10259,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino Wendy,Medium
10270,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Medium
10281,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Large
10291,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Medium
10305,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez Marta,Medium
10313,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri Yoshi,Medium
10322,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young Valarie,Small
10334,"Volvo Model Replicas, Co",BerguvsvÂ„gen  8,Lule,Sweden,Berglund Christina,Medium
10347,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10357,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10370,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Small
10391,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Small
10411,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre Jean,Medium
10425,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune Janine,Medium
10108,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,Cruz Arnold,Medium
10122,Marseille Mini Autos,"12, rue des Bouchers",Marseille,France,Lebihan Laurence,Large
10135,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Large
10147,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson Allen,Large
10169,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Medium
10181,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan Veysel,Medium
10191,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,Germany,Pfalzheim Henriette,Medium
10203,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10211,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier Dominique,Large
10225,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland,Holz Michael,Medium
10238,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen Jytte,Medium
10253,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon Elizabeth,Medium
10266,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni Maurizio,Large
10276,Online Mini Collectables,7635 Spinnaker Dr.,Brickhaven,USA,Barajas Miguel,Large
10287,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland,Holz Michael,Medium
10300,"Blauer See Auto, Co.",Lyonerstr. 34,Frankfurt,Germany,Keitel Roland,Medium
10310,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,Germany,Pfalzheim Henriette,Medium
10320,"Volvo Model Replicas, Co",BerguvsvÂ„gen  8,Lule,Sweden,Berglund Christina,Medium
10329,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Small
10341,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps Georg,Medium
10363,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen Kalle,Small
10375,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune Janine,Medium
10389,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Small
10419,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps Georg,Small
10105,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen Jytte,Large
10117,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Medium
10127,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young Jeff,Large
10142,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Large
10153,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10165,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Large
10176,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni Maurizio,Large
10185,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam Wing C,Medium
10196,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy Leslie,Large
10208,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley Mary,Large
10220,"Clover Collections, Co.",25 Maiden Lane,Dublin,Ireland,Cassidy Dean,Large
10231,CAF Imports,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain,Fernandez Jesus,Large
10247,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen Kalle,Large
10272,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Medium
10282,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Large
10293,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti Paolo,Large
10306,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth Victoria,Medium
10314,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen Palle,Large
10325,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Small
10336,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand Marie,Small
10348,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer MartÂ¡n,Small
10359,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot Paul,Medium
10371,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10382,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10395,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha Daniel,Small
10413,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King Julie,Large
10103,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Medium
10113,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10126,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer MartÂ¡n,Small
10140,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Medium
10150,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Medium
10164,Mini Auto Werke,Kirchgasse 6,Graz,Austria,Mendel Roland,Medium
10174,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan Tony,Medium
10183,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes Francisca,Medium
10194,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley Mary,Medium
10206,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri Yoshi,Medium
10216,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini Daniel,Medium
10229,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10245,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy Leslie,Medium
10258,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura Akiko,Medium
10270,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Medium
10281,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Small
10291,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Medium
10304,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini Daniel,Medium
10313,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri Yoshi,Small
10322,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young Valarie,Medium
10347,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10357,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10370,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Large
10391,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Small
10411,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre Jean,Medium
10424,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Large
10107,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Medium
10121,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot Paul,Large
10134,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha Daniel,Small
10145,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young Julie,Large
10169,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Medium
10180,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance Martine,Medium
10189,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young Julie,Medium
10211,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier Dominique,Medium
10224,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance Martine,Medium
10237,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick Michael,Medium
10251,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown William,Large
10263,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King Julie,Medium
10276,Online Mini Collectables,7635 Spinnaker Dr.,Brickhaven,USA,Barajas Miguel,Medium
10285,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez Marta,Medium
10299,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen Matti,Medium
10309,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Medium
10319,Microscale Inc.,5290 North Pendale Street,NYC,USA,Kuo Kee,Medium
10329,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Medium
10341,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps Georg,Large
10362,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Medium
10375,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune Janine,Medium
10388,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez Violeta,Medium
10403,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon Elizabeth,Large
10417,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10104,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10117,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Medium
10127,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young Jeff,Large
10142,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10153,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10165,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Medium
10176,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni Maurizio,Large
10185,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam Wing C,Medium
10196,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy Leslie,Medium
10208,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley Mary,Medium
10220,"Clover Collections, Co.",25 Maiden Lane,Dublin,Ireland,Cassidy Dean,Medium
10230,"Blauer See Auto, Co.",Lyonerstr. 34,Frankfurt,Germany,Keitel Roland,Large
10247,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen Kalle,Medium
10272,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Medium
10282,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10293,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti Paolo,Medium
10306,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth Victoria,Medium
10314,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen Palle,Medium
10324,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick Michael,Small
10336,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand Marie,Medium
10348,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer MartÂ¡n,Medium
10358,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10372,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura Akiko,Medium
10382,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10413,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King Julie,Large
10108,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,Cruz Arnold,Medium
10122,Marseille Mini Autos,"12, rue des Bouchers",Marseille,France,Lebihan Laurence,Medium
10135,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10147,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson Allen,Medium
10170,Mini Auto Werke,Kirchgasse 6,Graz,Austria,Mendel Roland,Medium
10181,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan Veysel,Small
10191,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,Germany,Pfalzheim Henriette,Medium
10203,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10212,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
